well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,plate
C06,algae,5,C06_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
C07,algae,339,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
C08,algae,181,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,5
C09,algae,4,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
C10,algae,990,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
C11,algae,5,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
D02,algae,6244,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
D03,algae,12499,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
D04,algae,43,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,5
D05,algae,565,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
D06,algae,392,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
D07,algae,306,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
D08,algae,3,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,5
D09,algae,1065,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
D10,algae,827,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
D11,algae,333,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,5
E02,algae,7295,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
E03,algae,276,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,5
E04,algae,10252,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
E05,algae,1159,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
E06,algae,3845,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
E07,algae,1173,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
E08,algae,722,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
E09,algae,12297,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
E10,algae,425,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
E11,algae,3,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
F02,algae,1186,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
F03,algae,3,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,5
F04,algae,637,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
F05,algae,5441,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
